Product,Price,Ounces,Source,Price per ounce,Categories
"Marketside Organic Fresh Romaine Lettuce Hearts, 3 Pack",4.52,42,Walmart,0.107619048,41
"Prego Marinara Sauce, 23 oz Jar",2.48,23,Walmart,0.107826087,42
"Fresh Sweet Corn on the Cob, 4 Count Tray",3.47,32,Walmart,0.1084375,22
"ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 8 oz Box",0.87,8,Walmart,0.10875,3
"Organic Marketside Fresh Baby Peeled Carrots, 1 lb Bag",1.74,16,Walmart,0.10875,14
"Fresh Navel Oranges, 4 lb Bag",6.97,64,Walmart,0.10890625,52
"Fresh Granny Smith Apples, 3 lb Bag",5.28,48,Walmart,0.11,32
"Crisco Butter Flavor All-Vegetable Shortening Sticks, 20 oz, 3 One Cup Sticks",6.64,60,Walmart,0.110666667,62
"Domino Confectioners Sugar, Pure Cane 10-x Powdered, 2lb (907g), Plastic Bag",3.57,32,Walmart,0.1115625,56
"(6 pack) Domino Confectioners Sugar, Pure Cane 10-x Powdered, 2lb (907g), Plastic Bag",21.42,192,Walmart,0.1115625,56
"Fresh Produce, Whole Zucchini, 1 Each",1.02,9,Walmart,0.113333333,79
"Crisco Pure Canola Oil, 40 fl oz",4.57,40,Walmart,0.11425,45
Domino Premium Pure Cane Dark Brown Sugar 2lb. Zipper-pak,3.67,32,Walmart,0.1146875,8
Domino Premium Pure Cane Light Brown Sugar 2 lb. Zipper-Pak,3.67,32,Walmart,0.1146875,8
"Fresh Whole Yellow Onion, Each",0.7,6,Walmart,0.116666667,49
"Great Value Great Northern Beans, 1 lb",1.87,16,Walmart,0.116875,13
"Birds Eye McKenzie's Yellow Cream Corn, Frozen, 20 oz",2.34,20,Walmart,0.117,29
"Green Giant Nibblers Extra Sweet Corn on The Cob, 6 Count Bag (Frozen Vegetables)",2.82,24,Walmart,0.1175,22
"Coca-Cola Cherry Soda Pop, 20 fl oz Bottle",2.38,20,Walmart,0.119,16
"(2 pack) Bertolli Traditional Marinara Pasta Sauce, 24oz",5.76,48,Walmart,0.12,42
"(8 pack) Great Value Corn Starch, 16 oz",15.36,128,Walmart,0.12,23
"Bertolli Traditional Marinara Pasta Sauce, 24oz",2.88,24,Walmart,0.12,42
"Great Value Corn Starch, 16 oz",1.92,16,Walmart,0.12,23
"Quaker Old Fashioned Grits, 24 oz Canister",2.88,24,Walmart,0.12,35
"Wesson Pure & Cholesterol Free Canola Oil, 24 fl oz",2.88,24,Walmart,0.12,45
"Quaker Old Fashioned Instant Whole Grain Oatmeal, 42 oz Canister Dry Oats",5.12,42,Walmart,0.121904762,44
"Quaker, Quick 1 Minute Oats, Oatmeal, Quick Cook Oatmeal, 42 oz Canister Dry Oats",5.12,42,Walmart,0.121904762,44
"Fresh Green Seedless Grapes, Bag (2.25 lbs/Bag Est.)",4.43,36,Walmart,0.123055556,34
Fieldpack Unbranded Granny Smith Apples Bulk,0.8,6.5,Walmart,0.123076923,32
"Great Value Shortening, 42 oz Can",5.18,42,Walmart,0.123333333,62
Newman's Own Marinara Pasta Sauce 24 oz,2.96,24,Walmart,0.123333333,42
"Dole Pineapple Chunks in 100% Pineapple Juice, 20 oz Can",2.47,20,Walmart,0.1235,54
"Dole Pineapple Slices in 100% Pineapple Juice, 20 oz Can",2.47,20,Walmart,0.1235,54
"Fresh Broccoli Crowns, Each",1.83,14.8,Walmart,0.123648649,7
"Great Value Chopped Spinach, 10 oz (Frozen)",1.24,10,Walmart,0.124,64
"Fresh Organic Oranges, 3 lb Bag",5.97,48,Walmart,0.124375,52
"Maizena Unflavored Corn Starch Powder, 14.1 oz Regular Box",1.78,14.1,Walmart,0.126241135,23
"Birds Eye Steamfresh Super Sweet Corn, Frozen Vegetables, 10 oz. Bag",1.27,10,Walmart,0.127,29
"Fresh Celery Stalk, Each",1.27,10,Walmart,0.127,15
"Fresh Tomato on the Vine, Bag (1.9 lbs/Bag Est.)",3.88,30.4,Walmart,0.127631579,70
"Great Value All Vegetable Shortening, 48 oz Can",6.18,48,Walmart,0.12875,62
"BEN'S ORIGINAL Converted Brand Enriched Long Grain White Rice, Parboiled Rice, 2 lb Box",4.14,32,Walmart,0.129375,59
"Imperial Vegetable Oil Spread, 15 oz Tub (Refrigerated)",1.98,15,Walmart,0.132,9
"Quaker Original Quick 5-Minute Grits, Shelf-Stable, 24 Oz Canister",3.17,24,Walmart,0.132083333,35
"Fresh Plantain, 1 Count",0.68,5,Walmart,0.136,4
"Green Bell Pepper, 1 each",0.82,6,Walmart,0.136666667,33
"Fresh Gala Apple, Each",0.86,6,Walmart,0.143333333,30
"Fresh Organic Granny Smith Apples, 3 lb Pouch",6.97,48,Walmart,0.145208333,32
"Great Value Whole Strawberries, 64 oz (Frozen)",9.42,64,Walmart,0.1471875,28
"(3 pack) Welch's Natural Strawberry Spread, 27 oz Jar",11.94,81,Walmart,0.147407407,67
"Welch's Natural Strawberry Spread, 27 oz Jar",3.98,27,Walmart,0.147407407,67
"Fresh Celery Sticks, 20 oz Bag",2.96,20,Walmart,0.148,15
"(3 pack) Argo Gluten-Free Corn Starch Thickening Powder,16 oz",7.32,48,Walmart,0.1525,23
"Argo Gluten-Free Corn Starch Thickening Powder,16 oz",2.44,16,Walmart,0.1525,23
"Great Value Sliced Strawberries, 64 oz (Frozen)",9.82,64,Walmart,0.1534375,28
"Great Value Sliced Bananas, 16 oz, Bag",2.47,16,Walmart,0.154375,4
"Great Value Frozen Chopped Green Peppers, 10 oz, Convenient and Ready to Use",1.56,10,Walmart,0.156,33
"Great Value Frozen Chopped Onions, 10 oz",1.56,10,Walmart,0.156,47
"(Pack of 6) Silk Shelf-Stable Original Soy Milk, 1 Quart",30,192,Walmart,0.15625,43
"Fresh Whole Sweet Onion, Each",1.29,8,Walmart,0.16125,47
"Great Value Blueberries, 48 oz (Frozen)",7.82,48,Walmart,0.162916667,6
"Fresh Organic Zucchini Squash, 2 Count",2.96,18,Walmart,0.164444444,79
"Fresh Whole Red Onion, Each",0.99,6,Walmart,0.165,48
"Morton Fine Sea Salt  Fast Dissolving for Marinades, Soups and Dressings, 17.6 oz Canister",2.97,17.6,Walmart,0.16875,61
"Tyson Trimmed & Ready All Natural, Fresh, Thin Sliced Boneless Skinless Chicken Breasts, 1.0 - 2.0 lb Tray",5.43,32,Walmart,0.1696875,17
"Tyson All Natural, Fresh, Boneless, Skinless Chicken Breasts, 2.5 - 4.0 lb Tray",10.88,64,Walmart,0.17,17
"Marketside Fresh Organic Bananas, Bunch",1.71,10,Walmart,0.171,4
"Fresh Whole White Onions, Each",1.03,6,Walmart,0.171666667,47
"(2 pack) Welch's Strawberry Spread, 20 oz Squeeze Bottle",6.94,40,Walmart,0.1735,67
"Welch's Strawberry Spread, 20 oz Squeeze Bottle",3.47,20,Walmart,0.1735,67
"Fresh Navel Orange, Each",0.97,5.5,Walmart,0.176363636,52
"Great Value Roasted Red Bell Pepper Slices, 12 oz",2.13,12,Walmart,0.1775,58
"Great Value Whole Strawberries, 16 oz (Frozen)",2.86,16,Walmart,0.17875,28
"Mott's Cinnamon Applesauce, 3.2 oz, 20 Count Clear Pouches",11.52,64,Walmart,0.18,0
"Quaker Oats Old Fashioned 100% Whole Grain Oatmeal, 18 oz Canister",3.26,18,Walmart,0.181111111,44
"Birds Eye Steamfresh Broccoli Florets, Frozen Vegetables, 10.8 oz. Bag",1.97,10.8,Walmart,0.182407407,7
"Marketside Fresh Spinach, 10 oz Bag (Fresh)",1.84,10,Walmart,0.184,64
"Crisco Pure Canola Oil, 16 fl oz",2.97,16,Walmart,0.185625,45
"Marketside Fresh Broccoli Florets, 32 oz",5.98,32,Walmart,0.186875,7
