Product,Price,Ounces,Source,Price per ounce,Categories
Fresh Organic Blueberries,4.99,6,Food City,0.831666667,6
 Jumbo Blueberries,6.99,9.8,Food City,0.713265306,6
Dole All Natural Blueberries Bag,4.99,12,Food City,0.415833333,6
Oregon Blueberries,5.19,15,Food City,0.346,6
ShorCtuts Blueberries & Strawberries 32 oz,7.99,32,Food City,0.499375,6
Fresh Broccoli,3.99,10,Food City,0.399,7
Fresh Organic Broccoli,4.99,10,Food City,0.499,7
Fresh Broccoli Crowns,1.99,2,Food City,0.995,7
ShortCuts Broccoli Snack Cup,2.99,6,Food City,0.498333333,7
Knorr Cheddar Broccoli Pasta,1.25,4.3,Food City,0.290697674,7
Basket & Bushel Broccoli & Carrots,3.5,12,Food City,0.291666667,7
"Domino Sugar, Dark Brown, Premium Pure Cane",1.99,16,Food City,0.124375,8
"Domino Sugar, Premium Pure Cane, Light Brown",1.99,16,Food City,0.124375,8
Full Circle Light Brown Pure Sugar,4.49,24,Food City,0.187083333,8
Domino Premium Pure Cane Dark Brown Sugar,3.79,32,Food City,0.1184375,8
Domino Premium Pure Cane Light Brown Sugar,3.79,32,Food City,0.1184375,8
"Food Club Sugar, Pure Cane, Light Brown",2.49,32,Food City,0.0778125,8
Imperial Vegetable Oil Spread,1.59,16,Food City,0.099375,9
Imperial Vegetable Oil Spread,4.29,45,Food City,0.095333333,9
Swanson® White Premium Chunk Canned Chicken Breast In Water,4.69,4.5,Food City,1.042222222,10
Food Club White Chunk Chicken Breast,1.69,5,Food City,0.338,10
Full Circle Market Premium Chunk Chicken Breast In Water,3.49,5,Food City,0.698,10
Food Club White Chunk With Rib Meat In Water Chicken Breast,2.99,12.5,Food City,0.2392,10
Swanson® White Premium Chunk Canned Chicken Breast In Water,9.59,12.5,Food City,0.7672,10
Realgood Foods Co. Parmesan Garlic Seasoned Chicken Breast Chunks,9.99,20,Food City,0.4995,10
Red Gold Diced Tomatoes,1,14.5,Food City,0.068965517,11
Red Gold Petite Diced Tomatoes,1,14.5,Food City,0.068965517,11
Red Gold Chili Ready Diced Tomatoes,1,14.5,Food City,0.068965517,11
That's Smart! Diced Tomatoes,0.89,14.5,Food City,0.06137931,11
That's Smart! Diced Tomatoes,1.69,28,Food City,0.060357143,11
Hunt's Diced Tomatoes,2.79,28,Food City,0.099642857,11
Green Valley Dark Red Kidney Beans POUCH,1.49,15.5,Food City,0.096129032,12
Food Club Dark Red Kidney Beans,2.49,15.5,Food City,0.160645161,12
"Hanover Kidney Beans, Dark Red, Redskin",1.99,15.5,Food City,0.128387097,12
Bush's Best Dark Red Kidney Beans,1.25,16,Food City,0.078125,12
Food Club Dark Red Kidney Beans,1,40,Food City,0.025,12
Hanover Dark Red Kidney Beans,2.99,40.5,Food City,0.07382716,12
Silers Great Northern Beans,1.79,1,Food City,1.79,13
Hanover Great Northern Beans,1,15.5,Food City,0.064516129,13
Food Club Great Northern Beans,0.99,15.5,Food City,0.063870968,13
Hurst's Great Northern Beans,2.99,20,Food City,0.1495,13
Hanover Great Northern Beans,2.99,40.5,Food City,0.07382716,13
"Randall Great Northern Beans, Deluxe",4.69,48,Food City,0.097708333,13
Fresh Bunch Carrots,2.99,2.5,Food City,1.196,14
Fresh Organic Rainbow Carrots bunch,2.99,2.5,Food City,1.196,14
Fresh Organic Carrots,7.99,5,Food City,1.598,14
Bolthouse Fresh Baby-cut Carrots,1.99,16,Food City,0.124375,14
 Fresh Carrots,24.99,25,Food City,0.9996,14
Foxy Fresh Celery,2.99,16,Food City,0.186875,15
Sauer's Celery Flakes,4.99,0.75,Food City,6.653333333,15
Sauer's Celery Seeds,5.49,1.12,Food City,4.901785714,15
Food Club Whole Celery Seed,2.99,1.9,Food City,1.573684211,15
Food Club Celery Salt,1.99,4,Food City,0.4975,15
Farmer Focus Boneless Skinless Chicken Breast avg weight 1.25 lb,8.99,20,Food City,0.4495,17
Farmer Focus Organic Boneless Skinless Chicken Breast avg weight 1.25 lb,8.99,20,Food City,0.4495,17
Gerber's Amish Farm Boneless Chicken Breasts,7.99,16,Food City,0.499375,17
Gerber's Amish Farm Family Pack Boneless Chicken Breasts 2.5 lb avg weight,7.49,16,Food City,0.468125,17
Tyson Boneless Skinless Thin Sliced Chicken Breasts,10.99,40,Food City,0.27475,17
Food Club Boneless Skinless Chicken Breast Portions,8.99,40,Food City,0.22475,17
Enjoy Life Semi Sweet Dairy Free Mini Chips,7.99,9,Food City,0.887777778,18
Badia Cinnamon,1.99,0.5,Food City,3.98,19
Sauer's Ground Cinnamon,5.99,2.25,Food City,2.662222222,19
Food Club Ground Cinnamon,2.49,2.37,Food City,1.050632911,19
Food Club Ground Cinnamon,3.99,4.12,Food City,0.968446602,19
Food Club Ground Saigon Cinnamon,5.99,5.2,Food City,1.151923077,19
Sauer's Value Size Ground Cinnamon,12.49,8.5,Food City,1.469411765,19
Club Minis Original Crackers,4.49,11,Food City,0.408181818,20
Club Reduced Fat Crackers,4.49,11.7,Food City,0.383760684,20
Club Multifgrain Crackers,4.49,12.7,Food City,0.353543307,20
Food Club Graham Cracker Crumbs,2.99,13.5,Food City,0.221481481,20
Club Original Crackers,4.49,13.7,Food City,0.327737226,20
Club Sweet Hawaiian Crackers,4.49,13.7,Food City,0.327737226,20
Hershey's Natural Unsweetened Cocoa,3.99,6,Food City,0.665,21
Ghirardelli Premium 100% Unsweetened Unsweetened Cocoa Powder Pkg.,7.29,8,Food City,0.91125,21
