Product,Price,Ounces,Source,Price per ounce,Categories,First unique?
Smucker's Strawberry Jelly,4.49,18,Food City,0.249444444,1,
OREO Chocolate Creme Chocolate Sandwich Cookies Family Size,4.49,17.6,Kroger,0.255113636,16,3
OREO Double Stuf Golden Sandwich Cookies Party Size,6.79,26.11538462,Kroger,0.26,16,4
"OREO Double Stuf Chocolate Sandwich Cookies, Family Size, 18.71 oz",4.97,18.71,Walmart,0.265633351,16,5
"(3 pack) OREO Double Stuf Chocolate Sandwich Cookies, Family Size, 18.71 oz",14.91,56.13,Walmart,0.265633351,16,6
"OREO Double Stuf Chocolate Sandwich Cookies, 14.03 oz",3.96,14.03,Walmart,0.282252316,16,7
"Club Original Crackers, Lunch Snacks, 13.7 oz",3.97,13.7,Walmart,0.289781022,20,2
Rumford Baking Powder - Gluten Free,3.79,13.06896552,Kroger,0.29,6,3
Club® Original Crackers,3.99,13.75862069,Kroger,0.29,20,3
Club® Minis Original Crackers,3.99,13.75862069,Kroger,0.29,20,4
Club® Reduced Fat Crackers,3.99,13.7,Kroger,0.291240876,20,5
Club® Multigrain Crackers,3.99,13.7,Kroger,0.291240876,20,6
Hostess Banana Twinkies,3.99,13.58,Food City,0.293814433,0,
Prego® Traditional Pasta Sauce Value Size,6.79,23,Kroger,0.295217391,0,11
"Club Snack Stacks Original Crackers, Lunch Snacks, 9 Count",5.47,18,Walmart,0.303888889,20,7
"Clabber Girl, Gluten-Free, Double Acting Baking Powder, 8.1 oz",2.47,8.1,Walmart,0.304938272,6,4
"Royal Baking Powder Double Acting, 8.1 oz",2.48,8.1,Walmart,0.30617284,6,5
"(3 pack) Royal Baking Powder Double Acting, 8.1 oz",7.44,24.3,Walmart,0.30617284,6,6
"Silk Dairy Free, Vanilla Plant Based, Soy Milk Yogurt Alternative Container, 5.3 oz",1.66,5.3,Walmart,0.313207547,9,1
"Silk Dairy Free, Peach Mango Plant Based, Soy Milk Yogurt Alternative Container, 5.3 oz",1.66,5.3,Walmart,0.313207547,9,2
"Silk Dairy Free, Strawberry Plant Based, Soy Milk Yogurt Alternative Container, 5.3 oz",1.66,5.3,Walmart,0.313207547,9,3
"Silk Dairy Free, Blueberry Plant Based, Soy Milk Yogurt Alternative Container, 5.3 oz",1.66,5.3,Walmart,0.313207547,9,4
"Great Value Canola Oil Cooking Spray, 8 oz",2.52,8,Walmart,0.315,3,10
Randall® Fully Cooked Deluxe Great Northern Beans Jar,4.99,15.8,Kroger,0.315822785,13,12
"Club Snack Stacks Original Crackers, Lunch Snacks, 6 Count",3.97,12.5,Walmart,0.3176,20,8
Club® Stacks Original Crackers,3.99,12.46875,Kroger,0.32,20,9
OREO Mega Stuf Chocolate Sandwich Cookies Family Size,4.49,14.03125,Kroger,0.32,16,8
OREO Double Stuf Chocolate Sandwich Cookies,4.49,14.03,Kroger,0.32002851,16,9
Bob's Red Mill Decadent Chocolate Cake Mix,4.49,13.60606061,Kroger,0.33,6,7
Kroger® Baking Powder,2.69,8.1,Kroger,0.332098765,6,8
Silk Strawberry Soy Milk Yogurt Alternative Cup,1.79,5.3,Kroger,0.337735849,9,5
Silk Vanilla Almond Milk Yogurt Alternative Cup,1.79,5.3,Kroger,0.337735849,9,6
Silk Blueberry Soy Milk Yogurt Alternative Cup,1.79,5.264705882,Kroger,0.34,9,7
Silk Vanilla Soy Milk Yogurt Alternative Cup,1.79,5.264705882,Kroger,0.34,9,8
Silk Vanilla Soy Milk Yogurt Alternative Tub,5.79,17.02941176,Kroger,0.34,9,9
Kroger® 100% Pure Canola Oil,10.99,32,Kroger,0.3434375,3,11
"Domino Premium Pure Cane Granulated Sugar, 4 lb",22.81,64,Walmart,0.35640625,11,9
"Club Minis Original Crackers, Lunch Snacks, 11 oz",3.97,11,Walmart,0.360909091,20,10
Fresh Strawberry Yogurt Parfait,3.99,10.8,Food City,0.369444444,2,
"Clabber Girl Baking Powder, Gluten-Free",2.99,8.081081081,Kroger,0.37,6,9
Driscoll's Organic Strawberries,5.99,16,Food City,0.374375,2,
Basket & Bushel Fresh Strawberries,5.99,16,Food City,0.374375,2,
Unpretentious Powdered Sugar 2.5 Pound,14.99,40,Walmart,0.37475,2,9
"(3 pack) Rumford, Non-GMO, Gluten-Free, Double Acting Baking Powder, 8.1 oz",9.36,24.3,Walmart,0.385185185,6,10
"OREO Double Stuf Golden Sandwich Cookies, Party Size, 24.95 oz",9.8,24.95,Walmart,0.392785571,16,10
"Welch's, Natural Strawberry Spread, 27oz Jar (Pack of 2)",21.99,54,Walmart,0.407222222,17,10
Silk Greek Style Strawberry Coconut Milk Yogurt Alternative Cup,2.19,5.3,Kroger,0.413207547,9,10
Birds Eye Fire Roasted Corn Frozen Vegetables,4.99,10.8,Kroger,0.462037037,14,11
OREO Mega Stuf Chocolate Sandwich Cookies Party Size,6.79,14.03,Kroger,0.483962937,16,11
Kroger® Clear Imitation Vanilla Extract,1.99,4,Kroger,0.4975,1,3
Prego Traditional Pasta Sauce,11.99,24,Walmart,0.499583333,0,12
